Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
336320,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Auvergne,Vallon-en-Sully (03297),46.5335,2.614198,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),26/10/2022,25/11/2022,,
335064,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Allostock  Cheshire,53.22,-2.36,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),25/10/2022,04/11/2022,,
335065,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Alrewas  Staffordshire,52.73,-1.73,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),25/10/2022,04/11/2022,,
335065,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Alrewas  Staffordshire,52.73,-1.73,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),25/10/2022,04/11/2022,,
335066,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Yardley Wood  West Midlands,52.42,-1.85,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),25/10/2022,04/11/2022,,
335070,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Watton  East Riding of Yorkshire,53.91,-0.36,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),25/10/2022,04/11/2022,,
335070,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Watton  East Riding of Yorkshire,53.91,-0.36,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),25/10/2022,04/11/2022,,
335070,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Watton  East Riding of Yorkshire,53.91,-0.36,OIE,Confirmed,Wild,Pink-Footed Goose (Anser Brachyrhynchus),25/10/2022,04/11/2022,,
335071,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Sculcoates  East Riding of Yorkshire,53.76,-0.34,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),25/10/2022,04/11/2022,,
335210,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Sardegna,Cagliari,39.21691,9.133158,OIE,Confirmed,Wild,Mallard:anas Platyrhynchos(Anatidae),25/10/2022,11/11/2022,,
334448,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Ireland,Cavan,Killykeen,54.0083,-7.47179,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),24/10/2022,01/11/2022,,
334584,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Bornem,51.088987,4.235155,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),24/10/2022,03/11/2022,,
334849,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Puurs,51.063037,4.313477,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),24/10/2022,07/11/2022,,
335067,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Bede Island  Leicestershire,52.63,-1.13,OIE,Confirmed,Wild,Peregrin Falcon:falco Peregrinus(Falconidae),24/10/2022,04/11/2022,,
336321,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Lorraine,Damvillers (55145),49.35866,5.404544,OIE,Confirmed,Wild,Brent Goose:branta Bernicla(Anatidae),24/10/2022,25/11/2022,,
336322,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Poitou-Charentes,Mo?ze (17237),45.888645,-1.073377,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),24/10/2022,25/11/2022,,
336323,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Centre,Saint-Romain-sur-Cher (41229),47.31823,1.376582,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),24/10/2022,25/11/2022,,
336324,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,La Gu?rini?re (85106),46.96682,-2.231969,OIE,Confirmed,Wild,Northern Gannet:morus Bassanus(Sulidae),24/10/2022,25/11/2022,,
334850,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Kruisem,50.901982,3.684113,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),23/10/2022,07/11/2022,,
334845,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Hoboken,51.169284,4.350236,OIE,Confirmed,Wild,Anserinae (Unidentified):Anserinae (Incognita)(Anatidae),22/10/2022,07/11/2022,,
