"","species","freq","class","order","family","genus"
"348","Psittacula krameri","1","Aves","Psittaciformes","Psittacidae","Psittacula"
"349","Psittacus erithacus","1","Aves","Psittaciformes","Psittacidae","Psittacus"
"350","Puffinus puffinus","2","Aves","Procellariiformes","Procellariidae","Puffinus"
"351","Purple Sandpiper","1","Aves","Charadriiformes","Scolopacidae","Calidris"
"352","Pyrrhula pyrrhula","2","Aves","Passeriformes","Fringillidae","Pyrrhula"
"353","Rallidae","5","Aves","Gruiformes","Rallidae",NA
"354","Rallus aquaticus","2","Aves","Gruiformes","Rallidae","Rallus"
"355","Razorbill","9","Aves","Charadriiformes","Alcidae","Alca"
"356","Red-Billed Gull","2","Aves","Charadriiformes","Laridae","Chroicocephalus"
"357","Red Junglefowl","2","Aves","Galliformes","Phasianidae","Gallus"
"358","Red Knot","2","Aves","Charadriiformes","Scolopacidae","Calidris"
"359","Rhea americana","1","Aves","Rheiformes","Rheidae","Rhea"
"360","Rheidae","2","Aves","Rheiformes","Rheidae",NA
"361","Rissa tridactyla","63","Aves","Charadriiformes","Laridae","Rissa"
"362","Rock Dove","7","Aves","Columbiformes","Columbidae","Columba"
"363","Rook","8","Aves","Passeriformes","Corvidae","Corvus"
"364","Rose Pelican","1","Aves","Pelecaniformes","Pelecanidae","Pelecanus"
"365","Saker Falcon","2","Aves","Falconiformes","Falconidae","Falco"
"366","Sanderling","8","Aves","Charadriiformes","Scolopacidae","Calidris"
"367","Sandwich Tern","54","Aves","Charadriiformes","Laridae","Thalasseus"
"368","Scolopacidae","7","Aves","Charadriiformes","Scolopacidae",NA
"369","Scolopacidae","4","Aves","Charadriiformes","Scolopacidae",NA
"370","Scolopax rusticola","1","Aves","Charadriiformes","Scolopacidae","Scolopax"
"371","Semipalmated Sandpiper","3","Aves","Charadriiformes","Scolopacidae","Calidris"
"372","Serinus canaria","1","Aves","Passeriformes","Fringillidae","Serinus"
"373","Silver Teal","1","Aves","Anseriformes","Anatidae","Spatula"
"374","Slender-Billed Gull","4","Aves","Charadriiformes","Laridae","Chroicocephalus"
"375","Somateria mollissima","28","Aves","Anseriformes","Anatidae","Somateria"
"376","Spatula querquedula","1","Aves","Anseriformes","Anatidae","Spatula"
"377","Spheniscidae","1","Aves","Sphenisciformes","Spheniscidae",NA
"378","Spotted Dove","1","Aves","Columbiformes","Columbidae","Spilopelia"
"379","Starling","4","Aves","Passeriformes","Sturnidae","Sturnus"
