"","common_name","common_code","sci_name","sci_code"
"429","Eastern Wood-Pewee","eawpew","Contopus virens","eawpew"
"430","Yellow-bellied Flycatcher","yebfly","Empidonax flaviventris","yebfly"
"431","Acadian Flycatcher","acafly","Empidonax virescens","acafly"
"432","Alder Flycatcher","aldfly","Empidonax alnorum","aldfly"
"433","Least Flycatcher","leafly","Empidonax minimus","leafly"
"434","Western Kingbird","weskin","Tyrannus verticalis","weskin"
"435","Eastern Kingbird","easkin","Tyrannus tyrannus","easkin"
"436","White-eyed Vireo","whevir","Vireo griseus","whevir"
"437","Yellow-throated Vireo","yetvir","Vireo flavifrons","yetvir"
"438","Philadelphia Vireo","phivir","Vireo philadelphicus","phivir"
"439","Warbling Vireo","warvir","Vireo gilvus","warvir"
"440","Red-eyed Vireo","reevir1","Vireo olivaceus","reevir1"
"441","Eurasian Golden Oriole","eugori2","Oriolus oriolus","eugori2"
"442","Red-backed Shrike","rebshr1","Lanius collurio","rebshr1"
"443","Brown Shrike","brnshr","Lanius cristatus","brnshr"
"444","Long-tailed Shrike","lotshr1","Lanius schach","lotshr1"
"445","Northern Shrike","norshr4","Lanius borealis","norshr4"
"446","Iberian Gray Shrike","ibgshr1","Lanius meridionalis","ibgshr1"
