"observation.date","Species","Country","Serotype","source","flu","geometry","X","Y","serotype_HN"
2021-03-16,"Cygnus olor","Latvia","H5N8","woah",1,"c(5137086.16009341, 3844966.48101742)",5137086.16009341,3844966.48101742,"H5N8"
2021-03-22,"Cygnus olor","Ukraine","H5","woah",1,"c(6200852.35588785, 2869446.93333539)",6200852.35588785,2869446.93333539,"H5"
2021-03-19,"Cygnus olor","Austria","H5N8","woah",1,"c(4795718.73752857, 2812190.49965802)",4795718.73752857,2812190.49965802,"H5N8"
2021-03-02,"Cygnus cygnus","Sweden","H5","woah",1,"c(4471329.87578894, 3773298.40055332)",4471329.87578894,3773298.40055332,"H5"
2021-02-25,"Cygnus olor","Austria","H5N5","woah",1,"c(4790933.22562737, 2818585.1876032)",4790933.22562737,2818585.1876032,"H5N5"
2021-02-16,"Cygnus olor","Poland","H5N8","woah",1,"c(4900155.76836087, 3502726.98200174)",4900155.76836087,3502726.98200174,"H5N8"
2021-02-16,"Cygnus atratus","Poland","H5N8","woah",1,"c(4852073.6047503, 3529552.68537628)",4852073.6047503,3529552.68537628,"H5N8"
2021-02-17,"Cygnus olor","Poland","H5N8","woah",1,"c(4861438.24025121, 3551468.52295925)",4861438.24025121,3551468.52295925,"H5N8"
2021-02-16,"Cygnus olor","Poland","H5N8","woah",1,"c(5063294.56376458, 3316476.08094618)",5063294.56376458,3316476.08094618,"H5N8"
2021-02-18,"Cygnus olor","Poland","H5N8","woah",1,"c(5065346.49310322, 3281805.54511241)",5065346.49310322,3281805.54511241,"H5N8"
2021-02-18,"Cygnus olor","Poland","H5N8","woah",1,"c(5170463.37447141, 3492022.67026278)",5170463.37447141,3492022.67026278,"H5N8"
2021-02-17,"Cygnus olor","Poland","H5N8","woah",1,"c(4862836.36911674, 3543355.85815924)",4862836.36911674,3543355.85815924,"H5N8"
2021-02-17,"Buteo buteo","Poland","H5N8","woah",1,"c(4938685.75969324, 3081078.54793053)",4938685.75969324,3081078.54793053,"H5N8"
2021-02-16,"Cygnus olor","Poland","H5N8","woah",1,"c(4804261.65221351, 3260309.33008413)",4804261.65221351,3260309.33008413,"H5N8"
2021-02-15,"Cygnus olor","Poland","H5N8","woah",1,"c(5069325.23009161, 3306872.48593335)",5069325.23009161,3306872.48593335,"H5N8"
2021-02-12,"Cygnus atratus","Poland","H5N8","woah",1,"c(4852073.6047503, 3529552.68537628)",4852073.6047503,3529552.68537628,"H5N8"
2021-02-11,"Spatula querquedula","Poland","H5N8","woah",1,"c(4883301.55206531, 3326447.58708637)",4883301.55206531,3326447.58708637,"H5N8"
2021-02-09,"Cygnus olor","Poland","H5N8","woah",1,"c(5063574.15371157, 3316393.39239162)",5063574.15371157,3316393.39239162,"H5N8"
2021-02-10,"Cygnus olor","Poland","H5N8","woah",1,"c(4860872.87415417, 3548640.49580909)",4860872.87415417,3548640.49580909,"H5N8"
2021-02-09,"Cygnus olor","Poland","H5N8","woah",1,"c(5017117.24958226, 3334562.45669692)",5017117.24958226,3334562.45669692,"H5N8"
2021-02-04,"Cygnus atratus","Poland","H5N8","woah",1,"c(4852073.6047503, 3529552.68537628)",4852073.6047503,3529552.68537628,"H5N8"
2021-03-04,"Milvus milvus","United Kingdom","H5N1","woah",1,"c(3566505.58357388, 3480576.3006989)",3566505.58357388,3480576.3006989,"H5N1"
2021-03-23,"Cygnus olor","France","H5N8","woah",1,"c(4155980.36730091, 2833035.4174082)",4155980.36730091,2833035.4174082,"H5N8"
2021-03-19,"Buteo buteo","France","H5N8","woah",1,"c(4124844.36137407, 2786962.48646591)",4124844.36137407,2786962.48646591,"H5N8"
2021-03-16,"Cygnus olor","Norway","H5N8","woah",1,"c(4348534.12000908, 4083363.78522866)",4348534.12000908,4083363.78522866,"H5N8"
2021-03-22,"Branta canadensis","Norway","H5N8","woah",1,"c(4367036.11624396, 4086868.62168406)",4367036.11624396,4086868.62168406,"H5N8"
2021-03-11,"Branta canadensis","Norway","H5N8","woah",1,"c(4386167.99353571, 4051565.81026066)",4386167.99353571,4051565.81026066,"H5N8"
