"","observation.date","Species","Country","Serotype","source","flu","geometry","X","Y"
"145",2023-06-29,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4085189.51299931, 3178793.67626777),4085189.51299931,3178793.67626777
"146",2023-06-29,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Russian Federation","H5N1 HPAI","fao",1,c(6741215.06204004, 4597595.83817064),6741215.06204004,4597595.83817064
"148",2023-06-29,"Black Headed Gull (Chroicocephalus Ridibundus)","Poland","H5N1 HPAI","fao",1,c(4629230.32178193, 3389642.20099914),4629230.32178193,3389642.20099914
"149",2023-06-29,"Black Headed Gull (Chroicocephalus Ridibundus)","Poland","H5N1 HPAI","fao",1,c(4836721.6889845, 3298201.18784815),4836721.6889845,3298201.18784815
"150",2023-06-29,"Eurasian Jackdaw (Coloeus Monedula)","Belgium","H5 HPAI","fao",1,c(3928432.02980229, 3128185.13029629),3928432.02980229,3128185.13029629
"151",2023-06-29,"Common Tern (Sterna Hirundo)","Spain","H5N1 HPAI","fao",1,c(3617539.34009744, 2051049.51946269),3617539.34009744,2051049.51946269
"152",2023-06-29,"Common Tern (Sterna Hirundo)","Spain","H5N1 HPAI","fao",1,c(3698049.50790196, 2084136.8490674),3698049.50790196,2084136.8490674
"153",2023-06-29,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4255145.14560072, 3421455.1930693),4255145.14560072,3421455.1930693
"154",2023-06-29,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4482827.75910291, 3198143.09867613),4482827.75910291,3198143.09867613
"155",2023-06-29,"Accipitridae (Incognita)","Germany","H5N1 HPAI","fao",1,c(4055470.63139562, 3140155.34155513),4055470.63139562,3140155.34155513
"156",2023-06-29,"Mew Gull (Larus Canus)","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3645338.57090569, 3511358.37701508),3645338.57090569,3511358.37701508
"157",2023-06-29,"Black Headed Gull (Chroicocephalus Ridibundus)","France","H5N1 HPAI","fao",1,c(3763062.34473214, 2943808.42129532),3763062.34473214,2943808.42129532
"158",2023-06-29,"Sandwich Tern","Spain","H5N1 HPAI","fao",1,c(3583614.08093328, 2044112.62538641),3583614.08093328,2044112.62538641
"159",2023-06-29,"Common Tern (Sterna Hirundo)","Spain","H5N1 HPAI","fao",1,c(3563693.0945529, 2041045.67046345),3563693.0945529,2041045.67046345
"160",2023-06-28,"Black Headed Gull (Chroicocephalus Ridibundus)","Latvia","H5N1 HPAI","fao",1,c(4997635.35201651, 3760678.36959194),4997635.35201651,3760678.36959194
"161",2023-06-28,"Black Headed Gull (Chroicocephalus Ridibundus)","Latvia","H5N1 HPAI","fao",1,c(5028273.98962234, 3792703.57795052),5028273.98962234,3792703.57795052
"162",2023-06-28,"Black Headed Gull (Chroicocephalus Ridibundus)","Latvia","H5N1 HPAI","fao",1,c(5290983.04118714, 3839312.3924652),5290983.04118714,3839312.3924652
"163",2023-06-28,"Black Headed Gull (Chroicocephalus Ridibundus)","Latvia","H5N1 HPAI","fao",1,c(5335212.29995274, 3935788.71269193),5335212.29995274,3935788.71269193
"164",2023-06-28,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Latvia","H5N1 HPAI","fao",1,c(5227131.20699864, 3825707.39120247),5227131.20699864,3825707.39120247
"165",2023-06-28,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Latvia","H5N1 HPAI","fao",1,c(5204652.90428647, 3836569.47254138),5204652.90428647,3836569.47254138
"166",2023-06-28,"Black Headed Gull (Chroicocephalus Ridibundus)","Latvia","H5N1 HPAI","fao",1,c(5190103.47364515, 3934086.56836473),5190103.47364515,3934086.56836473
"167",2023-06-28,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Latvia","H5N1 HPAI","fao",1,c(5174991.94528583, 3917199.96296),5174991.94528583,3917199.96296
"168",2023-06-28,"Black Headed Gull (Chroicocephalus Ridibundus)","Sweden","H5N1 HPAI","fao",1,c(4605932.99278056, 3667688.64523153),4605932.99278056,3667688.64523153
"169",2023-06-28,"Black Headed Gull (Chroicocephalus Ridibundus)","Sweden","H5N1 HPAI","fao",1,c(4741292.0826102, 4104373.07993004),4741292.0826102,4104373.07993004
"170",2023-06-28,"Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae)","Poland","H5N1 HPAI","fao",1,c(4964343.8727301, 3020781.23522549),4964343.8727301,3020781.23522549
